;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;128;7,765625
1;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;128;7,765625
2;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;128;7,765625
3;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;128;7,765625
4;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;129;7,705426356589148
5;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;129;7,705426356589148
6;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;128;7,765625
7;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;129;7,705426356589148
8;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;128;7,765625
9;[3, 0, 1, 1, 4, 1, 3, 0];256;1250;40000;128;7,765625
